,Num. Exp,Objeto Contrato,Organismo,Tipo Tramitación,Tipo de Contrato,Procedimiento de Contratación,Importe Total Presup. Licit.,NIF/CIF Adjudicatario/Contratista,Razón Social Adjudicatario/Contratista,Importe Adjudicación Sin Impuestos,Importe total Adjudicación,Plazo Ejecución,Fecha Formalización Contrato
1,108/19,"Ejecución de las obras comprendidas en el proyecto de ""Renovación y pavimentación de calzadas. Ocho lotes"".",NaN,NaN,Obras,Abierto,604755.1,NaN,MEDITERRÁNEO DE  OBRAS  Y ASFALTOS S.L.,NaN,537324.91,4 Meses,2020-08-06
2,108/19,"Ejecución de las obras comprendidas en el proyecto de ""Renovación y pavimentación de calzadas. Ocho lotes"".",NaN,NaN,Obras,Abierto,350000.0,NaN,MEDITERRÁNEO DE  OBRAS  Y ASFALTOS S.L.,NaN,322000.0,4 Meses,2020-08-10
3,115/19,"Obras de construcción de nave industrial para servicios municipales, Fase 1. (Inversiones financieramente sostenibles 2019)",NaN,NaN,Obras,Abierto Simplificado,574992.24,NaN,NERCO INFRAESTRUCTURAS SL,NaN,478725.53,6 Meses,2020-05-18
4,72/19,Adquisición de suministros relativos a los materiales didácticos del Programa Brújula y el Programa 12-16. Trabajos de impresión.,NaN,NaN,Suministros,Abierto Simplificado,25936.65,NaN,"INDUSTRIAS GRÁFICAS ALICANTE, S.L.",NaN,18515.88,1 Años,2020-02-17
5,14/20,Servicios de organización y desarrollo de campañas de dinamización y animación comercial en el centro tradicional y barrios de Alicante que se realizarán durante los años 2020/22,NaN,NaN,Servicios,Abierto,82522.0,NaN,Ebone Servicios Educación Deporte S.L.,NaN,66842.82,2 Años,2020-11-23
6,133/19,Reurbanización del barrio Rabasa. Mejora de la accesibilidad y movilidad del barrio. (Inversión financieramente sostenible 2019),NaN,NaN,Obras,Abierto Simplificado,2411021.7,NaN,"TECNOLOGIA DE LA CONSTRUCCION Y OBRAS PUBLICAS, S.A.",NaN,1934603.82,8 Meses,2020-06-18
7,70/19,Servicio de gestión y ejecución de las actividades de prevención de conductas adictivas en el ámbito escolar,NaN,NaN,Servicios,Abierto,14820.0,NaN,Auca Projectes Educatius S.L.,NaN,14700.0,,2020-01-22
8,70/19,Servicio de gestión y ejecución de las actividades de prevención de conductas adictivas en el ámbito escolar,NaN,NaN,Servicios,Abierto,4200.0,NaN,Auca Projectes Educatius S.L.,NaN,4080.0,,2020-01-22
9,52/19,Ejecución obras comprendidas en el proyecto de Acondicionamiento de la Plaza de la Viña,NaN,NaN,Obras,Abierto Simplificado,321894.29,NaN,UTE ACTÚA - ORTHEM PLAZA DE LA VIÑA,NaN,263084.4,4 Meses,2020-01-08
10,88/19,"Ejecución obras de Adecuación de dos locales en la calle Sargento Vaillo de Alicante, dividido en 2 lotes.",NaN,NaN,Obras,Abierto Simplificado,85254.61,NaN,CIRALIA S.L.,NaN,78922.25,2 Meses,2020-06-30
