,Num. Exp,Objeto Contrato,Organismo,Tipo Tramitación,Tipo de Contrato,Procedimiento de Contratación,Importe Total Presup. Licit.,NIF/CIF Adjudicatario/Contratista,Razón Social Adjudicatario/Contratista,Importe Adjudicación Sin Impuestos,Importe total Adjudicación,Plazo Ejecución,Fecha Formalización Contrato
1,78/18,"Servicios de asesoramiento juvenil  para la Concejalía de Juventud en las siguientes áreas: asesoría laboral, asesoría de sexualidad y psicoafectividad, asesoría de  trastornos de la conducta alimentaria y concepto adolescente y asesoría de hábitos saludables  en IES dirigidas a la población juvenil entre 12 y 35 años.  De conformidad con lo dispuesto en el art. 99 de la Ley 9/2017, el objeto del contrato se divide en lotes: -Lote n.º 1: Contratación de una asesoría laboral para jóvenes para las anualidades 2019 y 2020. -Lote n.º 2:  Contratación de una  asesoría sexual y de psicoafectividad para jóvenes para las anualidades 2019 y 2020. -Lote n.º 3: Contratación de una  asesoría trastornos conducta alimentaria y concepto adolescente para jóvenes para las anualidades 2019 y 2020. -Lote n.º 4: Contratación de una  asesoría habitos saludables en IES para jóvenes para las anualidades 2019 y 2020.",NaN,NaN,Servicios,Abierto,49199.2,NaN,Doña Laura Cruz gómez y Doña María del Carmen Esclapez Cartagena Unión Temporal de Empresas Ley 18/1982,NaN,46739.24,2 Años,2019-03-05
2,78/18,"Servicios de asesoramiento juvenil  para la Concejalía de Juventud en las siguientes áreas: asesoría laboral, asesoría de sexualidad y psicoafectividad, asesoría de  trastornos de la conducta alimentaria y concepto adolescente y asesoría de hábitos saludables  en IES dirigidas a la población juvenil entre 12 y 35 años.  De conformidad con lo dispuesto en el art. 99 de la Ley 9/2017, el objeto del contrato se divide en lotes: -Lote n.º 1: Contratación de una asesoría laboral para jóvenes para las anualidades 2019 y 2020. -Lote n.º 2:  Contratación de una  asesoría sexual y de psicoafectividad para jóvenes para las anualidades 2019 y 2020. -Lote n.º 3: Contratación de una  asesoría trastornos conducta alimentaria y concepto adolescente para jóvenes para las anualidades 2019 y 2020. -Lote n.º 4: Contratación de una  asesoría habitos saludables en IES para jóvenes para las anualidades 2019 y 2020.",NaN,NaN,Servicios,Abierto,17400.0,NaN,Asociación Para la Difusión Educativa de la Nutricion Salud y Deporte,NaN,16990,2 Años,2019-02-28
3,ALC-CONT-127/18,"Ejecución obras comprendidas en el proyecto de Itinerario ciclista Vía Avda. Denia, entre Jesuitas y la C/ Concha Espina, hasta la C/ Deportista Alejandra Quereda (Alicante) (Inversiones financieramente sostenibles ejercicio 2018)",NaN,NaN,Obras,Abierto Simplificado,120998.56,NaN,PLANIFICACIÓN URBANA Y PAISAJÍSTICA S.L.,NaN,95588.86,3 Meses,2019-06-04
4,ALC-CONT-130/18,Servicios de mantenimiento de 25 licencias del software Microstation y 1 licencia del Software Bentley Inroads Site del Ayuntamiento de Alicante,NaN,NaN,Servicios,Negociado sin publicidad,35943.17,NaN,Bentley Systems International Limited,NaN,35943.17,,2019-07-30
5,74/19,Mejora de la movilidad y accesibilidad a centros escolares 2019,NaN,NaN,Obras,Abierto Simplificado,115244.65,NaN,EXCAVACIONES GEOS S.L.,NaN,88763.01,2 Meses,2019-12-10
6,56/19,Servicio de mantenimiento del Parque Microinformático Municipal del Ayuntamiento de Alicante y sus Organismos Autónomos,NaN,NaN,Servicios,Abierto,189944.41,NaN,"METAENLACE SISTEMAS DE INFORMACIÓN, S.L.",NaN,151008,2 Años,2019-11-29
7,ALC-CONT-16/2019,Ejecución obras comprendidas en el proyecto de Mejora de accesibilidad y revistalización urbana. Ámbito: Poeta Zorrilla. ,NaN,NaN,Obras,Abierto Simplificado,317109.84,NaN,"PAVASAL EMPRESA CONSTRUCTORA, S.A.",NaN,227480.44,2 Meses,2019-09-11
8,76/18,Servicio de gestión y ejecución de las actividades formativas para familias para el 2.019,NaN,NaN,Servicios,Abierto Simplificado,39930.0,NaN,"BIENESTAR BY CSP, S.L.",NaN,34001,12 Meses,2019-02-06
9,53/19,Obras de señalización vial y mejora viaria para incremento de plazas de aparcamiento en el polígono industrial Las Atalayas.,NaN,NaN,Obras,Abierto Simplificado,118000.0,NaN,INELSA INGENIERIA INFRAESTRUCTURAS S.L.,NaN,91234,1 Meses,2019-11-07
10,ALC-CONT-117/18,"Ejecución de las obras comprendidas en el proyecto de Itinerario ciclista en Vía Parque, desde la Avda. Isla de Corfú hasta la calle Teulada (Inversiones  financieramente sostenibles ejercicio 2018)",NaN,NaN,Obras,Abierto Simplificado,79999.98,NaN,PLANIFICACIÓN URBANA Y PAISAJÍSTICA S.L.,NaN,70399.99,2 Meses,2019-06-04
11,ALC-CONT-115/18,"Renovación de las suscripciones y contratos de soporte de diversos productos utilizados en el servicio de N.N.T.T., Innovación e Informática del Ayuntamiento de Alicante",NaN,NaN,Servicios,Abierto Simplificado,4936.8,NaN,"SENTINEL INFRAESTRUCTURAS Y TELECOMUNICACIONES, S.L.L.",NaN,2622.31,24 Meses,2019-04-12
12,Alc-cont 82/18,Desarrollo de un cuadro de mando para la Policía Local del Ayuntamiento de Alicante,NaN,NaN,Servicios,Abierto Simplificado,34368.84,NaN,GEXFLOW SOLUTIONS SL,NaN,32829.72,3 Meses,2019-03-18
13,83/19,Adquisición de un sistema de almacenamiento secundario para alojar información de gran volumen y bajos requisitos de rendimiento y copias de seguridad.,NaN,NaN,Suministros,Abierto Simplificado (Abreviado),24929.63,NaN,"VERNE TELECOM, S.L.",NaN,23108.58,30 Días,2019-12-03
14,40/19,"Obras comprendidas en proyecto de Mejora de accesibilidad y revitalización urbana. Ámbito: Calles Teniente Aguado y Sargento del Río Llamas, cofinanciado por la Comisión Europea con cargo al FEDER dentro del Eje 12 ¿Desarrollo Urbano¿ del Programa Operativo de Crecimiento Sostenible,  para la programación 2014-2020. ¿Una manera de hacer Europa¿.",NaN,NaN,Obras,Abierto Simplificado,561204.36,NaN,"PAVASAL EMPRESA CONSTRUCTORA, S.A.",NaN,379026.97,3 Meses,2019-12-02
